Year,Category,Economic sectors,Source,Type,Fuel type,Gas,MMTCO2e
1990,Estimate,Electric power,Fossil Fuel Combustion,Energy,Coal,CO2,5.024909255535
1990,Estimate,Electric power,Fossil Fuel Combustion,Energy,Petroleum,CO2,1.8523517549328
1990,Estimate,Electric power,Fossil Fuel Combustion,Energy,Natural Gas,CO2,0.611200832961767
1990,Estimate,Electric power,Fossil Fuel Combustion,Energy,Coal,N2O,0.023956965
1990,Estimate,Electric power,Fossil Fuel Combustion,Energy,Petroleum,N2O,0.0038699472
1990,Estimate,Electric power,Fossil Fuel Combustion,Energy,Natural Gas,N2O,0.00030926142
1990,Estimate,Electric power,Fossil Fuel Combustion,Energy,Coal,CH4,0.001339875
1990,Estimate,Electric power,Fossil Fuel Combustion,Energy,Petroleum,CH4,0.001628711
1990,Estimate,Electric power,Fossil Fuel Combustion,Energy,Natural Gas,CH4,0.00027386125
1990,Estimate,Electric power,Transmission and Distribution,Non-Energy,N/A,SF6,0.077537334856829
1990,Estimate,Electric power - consumption,Imported Electricity,Indirect,N/A,CO2,0.4308782356465
1990,Estimate,Electric power - consumption,Imported Electricity,Indirect,N/A,N2O,0.001687266365616
1990,Estimate,Electric power - consumption,Imported Electricity,Indirect,N/A,CH4,0.000194793009283
1990,Estimate,Transportation,Fossil Fuel Combustion,Energy,Petroleum,CO2,4.531621105399220
1990,Estimate,Transportation,Fossil Fuel Combustion,Energy,Natural Gas,CO2,0
1990,Estimate,Transportation,Fossil Fuel Combustion,Energy,Petroleum,N2O,0.201348055579408
1990,Estimate,Transportation,Fossil Fuel Combustion,Energy,Natural Gas,N2O,0.000019559782321
1990,Estimate,Transportation,Fossil Fuel Combustion,Energy,Petroleum,CH4,0.027189771180116
1990,Estimate,Transportation,Fossil Fuel Combustion,Energy,Natural Gas,CH4,0.000000680226266
1990,Estimate,Transportation,"A/C, Refrigeration, other",Non-Energy,N/A,HFC,0.000501369392117
1990,Estimate,Industrial,Fossil Fuel Combustion,Energy,Coal,CO2,0.07706334164166
1990,Estimate,Industrial,Fossil Fuel Combustion,Energy,Petroleum,CO2,3.06723974148414
1990,Estimate,Industrial,Fossil Fuel Combustion,Energy,Natural Gas,CO2,0.89269989086609
1990,Estimate,Industrial,Fossil Fuel Combustion,Energy,Coal,N2O,0.000381408297019
1990,Estimate,Industrial,Fossil Fuel Combustion,Energy,Petroleum,N2O,0.006493522132735
1990,Estimate,Industrial,Fossil Fuel Combustion,Energy,Natural Gas,N2O,0.000462892279128
1990,Estimate,Industrial,Fossil Fuel Combustion,Energy,Wood,N2O,0.000269762
1990,Estimate,Industrial,Fossil Fuel Combustion,Energy,Coal,CH4,0.000225277155
1990,Estimate,Industrial,Fossil Fuel Combustion,Energy,Petroleum,CH4,0.0030962365
1990,Estimate,Industrial,Fossil Fuel Combustion,Energy,Natural Gas,CH4,0.0004083575
1990,Estimate,Industrial,Fossil Fuel Combustion,Energy,Wood,CH4,0.00016310525
1990,Estimate,Industrial,Industrial Processes,Non-Energy,N/A,CO2,0.201523748425816
1990,Estimate,Industrial,"A/C, Refrigeration, other",Non-Energy,N/A,HFC,0.000113364807504
1990,Estimate,Industrial,Natural Gas and Oil Systems,Non-Energy,N/A,CH4,0.174059775096231
1990,Estimate,Residential,Fossil Fuel Combustion,Energy,Coal,CO2,0.010219518777
1990,Estimate,Residential,Fossil Fuel Combustion,Energy,Petroleum,CO2,0.669910694704847
1990,Estimate,Residential,Fossil Fuel Combustion,Energy,Natural Gas,CO2,0.388897798234367
1990,Estimate,Residential,Fossil Fuel Combustion,Energy,Coal,N2O,0.000050685
1990,Estimate,Residential,Fossil Fuel Combustion,Energy,Petroleum,N2O,0.001744494
1990,Estimate,Residential,Fossil Fuel Combustion,Energy,Natural Gas,N2O,0.0002047023
1990,Estimate,Residential,Fossil Fuel Combustion,Energy,Wood,N2O,0.001418312
1990,Estimate,Residential,Fossil Fuel Combustion,Energy,Coal,CH4,0.00068827941
1990,Estimate,Residential,Fossil Fuel Combustion,Energy,Petroleum,CH4,0.00197352918
1990,Estimate,Residential,Fossil Fuel Combustion,Energy,Natural Gas,CH4,0.00073186575
1990,Estimate,Residential,Fossil Fuel Combustion,Energy,Wood,CH4,0.00720265308
1990,Estimate,Residential,"A/C, Refrigeration, other",Non-Energy,N/A,HFC,0.000020176621929
1990,Estimate,Commercial,Fossil Fuel Combustion,Energy,Coal,CO2,0.040971832161
1990,Estimate,Commercial,Fossil Fuel Combustion,Energy,Petroleum,CO2,0.31845097329567
1990,Estimate,Commercial,Fossil Fuel Combustion,Energy,Natural Gas,CO2,0.216207457952567
1990,Estimate,Commercial,Fossil Fuel Combustion,Energy,Coal,N2O,0.000203205
1990,Estimate,Commercial,Fossil Fuel Combustion,Energy,Petroleum,N2O,0.000821562
1990,Estimate,Commercial,Fossil Fuel Combustion,Energy,Natural Gas,N2O,0.0001138041
1990,Estimate,Commercial,Fossil Fuel Combustion,Energy,Wood,N2O,0.000155496
1990,Estimate,Commercial,Fossil Fuel Combustion,Energy,Coal,CH4,0.00009195354
1990,Estimate,Commercial,Fossil Fuel Combustion,Energy,Petroleum,CH4,0.00092942514
1990,Estimate,Commercial,Fossil Fuel Combustion,Energy,Natural Gas,CH4,0.00040688025
1990,Estimate,Commercial,Fossil Fuel Combustion,Energy,Wood,CH4,0.00078965964
1990,Estimate,Commercial,"A/C, Refrigeration, other",Non-Energy,N/A,HFC,0.000132521456695
1990,Estimate,Agricultural,Enteric Fermentation,Non-Energy,N/A,CH4,0.059872551925011
1990,Estimate,Agricultural,Manure Management,Non-Energy,N/A,N2O,0.149753023934764
1990,Estimate,Agricultural,Manure Management,Non-Energy,N/A,CH4,0.036757833958653
1990,Estimate,Agricultural,Agricultural Soil Management,Non-Energy,N/A,N2O,0.36454330035196
1990,Estimate,Agricultural,Burning of Agricultural Crop Waste,Non-Energy,N/A,N2O,0.000088652155268
1990,Estimate,Agricultural,Burning of Agricultural Crop Waste,Non-Energy,N/A,CH4,0.000188303807822
1990,Estimate,Agricultural,Liming and Urea,Non-Energy,N/A,CO2,0.000307651395567
1990,Estimate,Waste Management,Municipal WWT,Non-Energy,N/A,N2O,0.018306421418766
1990,Estimate,Waste Management,Municipal WWT,Non-Energy,N/A,CH4,0.045001428278625
1990,Estimate,Waste Management,Industrial WWT,Non-Energy,N/A,CH4,0.046941075469967
1990,Estimate,Waste Management,Landfill Fugitive Emissions,Non-Energy,N/A,CH4,0.332312062705999
1990,Estimate,Waste Management,MSW Incineration,Non-Energy,N/A,CO2,0.145123970418138
1990,Estimate,"Land-use, land-use change, forestry",Total Flux,Non-Energy,N/A,CO2,0.087827882647485
1991,Estimate,Electric power,Fossil Fuel Combustion,Energy,Coal,CO2,4.796773942444
1991,Estimate,Electric power,Fossil Fuel Combustion,Energy,Petroleum,CO2,2.1269592640659
1991,Estimate,Electric power,Fossil Fuel Combustion,Energy,Natural Gas,CO2,0.826984250790867
1991,Estimate,Electric power,Fossil Fuel Combustion,Energy,Coal,N2O,0.022858239
1991,Estimate,Electric power,Fossil Fuel Combustion,Energy,Petroleum,N2O,0.0045617244
1991,Estimate,Electric power,Fossil Fuel Combustion,Energy,Natural Gas,N2O,0.00041844564
1991,Estimate,Electric power,Fossil Fuel Combustion,Energy,Coal,CH4,0.001278425
1991,Estimate,Electric power,Fossil Fuel Combustion,Energy,Petroleum,CH4,0.00191985325
1991,Estimate,Electric power,Fossil Fuel Combustion,Energy,Natural Gas,CH4,0.0003705475
1991,Estimate,Electric power,Transmission and Distribution,Non-Energy,N/A,SF6,0.075197322593067
1991,Estimate,Electric power - consumption,Imported Electricity,Indirect,N/A,CO2,0.679611121792774
1991,Estimate,Electric power - consumption,Imported Electricity,Indirect,N/A,N2O,0.002661273864945
1991,Estimate,Electric power - consumption,Imported Electricity,Indirect,N/A,CH4,0.000307241082525
1991,Estimate,Transportation,Fossil Fuel Combustion,Energy,Petroleum,CO2,5.078857902053990
1991,Estimate,Transportation,Fossil Fuel Combustion,Energy,Natural Gas,CO2,0
1991,Estimate,Transportation,Fossil Fuel Combustion,Energy,Petroleum,N2O,0.219887192637193
1991,Estimate,Transportation,Fossil Fuel Combustion,Energy,Natural Gas,N2O,0.000020676516769
1991,Estimate,Transportation,Fossil Fuel Combustion,Energy,Petroleum,CH4,0.027024844418918
1991,Estimate,Transportation,Fossil Fuel Combustion,Energy,Natural Gas,CH4,0.000000713513251
1991,Estimate,Transportation,"A/C, Refrigeration, other",Non-Energy,N/A,HFC,0.000981299630873
1991,Estimate,Industrial,Fossil Fuel Combustion,Energy,Coal,CO2,0.07550774475768
1991,Estimate,Industrial,Fossil Fuel Combustion,Energy,Petroleum,CO2,2.127929143161970
1991,Estimate,Industrial,Fossil Fuel Combustion,Energy,Natural Gas,CO2,0.844857778594685
1991,Estimate,Industrial,Fossil Fuel Combustion,Energy,Coal,N2O,0.00037576278
1991,Estimate,Industrial,Fossil Fuel Combustion,Energy,Petroleum,N2O,0.005415576
1991,Estimate,Industrial,Fossil Fuel Combustion,Energy,Natural Gas,N2O,0.0004534029
1991,Estimate,Industrial,Fossil Fuel Combustion,Energy,Wood,N2O,0.000285076
1991,Estimate,Industrial,Fossil Fuel Combustion,Energy,Coal,CH4,0.000232320714
1991,Estimate,Industrial,Fossil Fuel Combustion,Energy,Petroleum,CH4,0.002190979
1991,Estimate,Industrial,Fossil Fuel Combustion,Energy,Natural Gas,CH4,0.00038596125
1991,Estimate,Industrial,Fossil Fuel Combustion,Energy,Wood,CH4,0.0001723645
1991,Estimate,Industrial,Industrial Processes,Non-Energy,N/A,CO2,0.183509157197191
1991,Estimate,Industrial,"A/C, Refrigeration, other",Non-Energy,N/A,HFC,0.000221882000591
1991,Estimate,Industrial,Natural Gas and Oil Systems,Non-Energy,N/A,CH4,0.174807793735423
1991,Estimate,Residential,Fossil Fuel Combustion,Energy,Coal,CO2,0.0084095586
1991,Estimate,Residential,Fossil Fuel Combustion,Energy,Petroleum,CO2,0.702034144939776
1991,Estimate,Residential,Fossil Fuel Combustion,Energy,Natural Gas,CO2,0.3835442916756
1991,Estimate,Residential,Fossil Fuel Combustion,Energy,Coal,N2O,0.00004185
1991,Estimate,Residential,Fossil Fuel Combustion,Energy,Petroleum,N2O,0.001831914
1991,Estimate,Residential,Fossil Fuel Combustion,Energy,Natural Gas,N2O,0.0002018844
1991,Estimate,Residential,Fossil Fuel Combustion,Energy,Wood,N2O,0.001486636
1991,Estimate,Residential,Fossil Fuel Combustion,Energy,Coal,CH4,0.0005683041
1991,Estimate,Residential,Fossil Fuel Combustion,Energy,Petroleum,CH4,0.00207242658
1991,Estimate,Residential,Fossil Fuel Combustion,Energy,Natural Gas,CH4,0.000721791
1991,Estimate,Residential,Fossil Fuel Combustion,Energy,Wood,CH4,0.00754962474
1991,Estimate,Residential,"A/C, Refrigeration, other",Non-Energy,N/A,HFC,0.000039490467433
1991,Estimate,Commercial,Fossil Fuel Combustion,Energy,Coal,CO2,0.0383102114
1991,Estimate,Commercial,Fossil Fuel Combustion,Energy,Petroleum,CO2,0.31009233783259
1991,Estimate,Commercial,Fossil Fuel Combustion,Energy,Natural Gas,CO2,0.2269144710701
1991,Estimate,Commercial,Fossil Fuel Combustion,Energy,Coal,N2O,0.00019065
1991,Estimate,Commercial,Fossil Fuel Combustion,Energy,Petroleum,N2O,0.000805194
1991,Estimate,Commercial,Fossil Fuel Combustion,Energy,Natural Gas,N2O,0.0001194399
1991,Estimate,Commercial,Fossil Fuel Combustion,Energy,Wood,N2O,0.000161386
1991,Estimate,Commercial,Fossil Fuel Combustion,Energy,Coal,CH4,0.0000862722
1991,Estimate,Commercial,Fossil Fuel Combustion,Energy,Petroleum,CH4,0.00091090818
1991,Estimate,Commercial,Fossil Fuel Combustion,Energy,Natural Gas,CH4,0.00042702975
1991,Estimate,Commercial,Fossil Fuel Combustion,Energy,Wood,CH4,0.00081957099
1991,Estimate,Commercial,"A/C, Refrigeration, other",Non-Energy,N/A,HFC,0.000259376137798
1991,Estimate,Agricultural,Enteric Fermentation,Non-Energy,N/A,CH4,0.059171045273482
1991,Estimate,Agricultural,Manure Management,Non-Energy,N/A,N2O,0.152943989971032
1991,Estimate,Agricultural,Manure Management,Non-Energy,N/A,CH4,0.039671893929533
1991,Estimate,Agricultural,Agricultural Soil Management,Non-Energy,N/A,N2O,0.396541541583165
1991,Estimate,Agricultural,Burning of Agricultural Crop Waste,Non-Energy,N/A,N2O,0.000107853289736
1991,Estimate,Agricultural,Burning of Agricultural Crop Waste,Non-Energy,N/A,CH4,0.000217155799271
1991,Estimate,Agricultural,Liming and Urea,Non-Energy,N/A,CO2,0.000146399225861
1991,Estimate,Waste Management,Municipal WWT,Non-Energy,N/A,N2O,0.01878861121494
1991,Estimate,Waste Management,Municipal WWT,Non-Energy,N/A,CH4,0.045770348885625
1991,Estimate,Waste Management,Industrial WWT,Non-Energy,N/A,CH4,0.048871798168408
1991,Estimate,Waste Management,Landfill Fugitive Emissions,Non-Energy,N/A,CH4,0.375997423305722
1991,Estimate,Waste Management,MSW Incineration,Non-Energy,N/A,CO2,0.0641709766426
1991,Estimate,"Land-use, land-use change, forestry",Total Flux,Non-Energy,N/A,CO2,0.083771393966034
1992,Estimate,Electric power,Fossil Fuel Combustion,Energy,Coal,CO2,3.991064157317000
1992,Estimate,Electric power,Fossil Fuel Combustion,Energy,Petroleum,CO2,2.311485705788970
