,loan_amnt,funded_amnt,int_rate,annual_inc,total_pymnt
0,5000,5000,10.65,24000.0,5863.155187
1,2500,2500,15.27,30000.0,1008.71
2,2400,2400,15.96,12252.0,3005.666844
3,10000,10000,13.49,49200.0,12231.89
4,3000,3000,12.69,80000.0,3513.33
5,5000,5000,7.9,36000.0,5632.21
6,7000,7000,15.96,47004.0,10110.84
7,3000,3000,18.64,48000.0,3939.135294
8,5600,5600,21.28,40000.0,646.02
9,5375,5375,12.69,15000.0,1476.19
10,6500,6500,14.65,72000.0,7678.017673
11,12000,12000,12.69,75000.0,13947.98916
12,9000,9000,13.49,30000.0,2270.7
13,3000,3000,9.91,15000.0,3480.269999
14,10000,10000,10.65,100000.0,7471.99
15,1000,1000,16.29,28000.0,1270.716942
16,10000,10000,15.27,42000.0,12527.15
17,3600,3600,6.03,110000.0,3785.271965
18,6000,6000,11.71,84000.0,7167.072893
19,9200,9200,6.03,77385.19,9460.000848
20,20250,20250,15.27,43370.0,27679.05
21,21000,21000,12.42,105000.0,14025.4
22,10000,10000,11.71,50000.0,11907.35
23,10000,10000,11.71,50000.0,11540.89198
24,6000,6000,11.71,76000.0,2050.14
25,15000,15000,9.91,92000.0,15823.99905
26,15000,15000,14.27,60000.0,0.0
27,5000,5000,16.77,50004.0,1609.12
28,4000,4000,11.71,106000.0,4486.293519
29,8500,8500,11.71,25000.0,10126.08844
30,4375,4375,7.51,17108.0,4899.96
31,31825,31825,7.9,75000.0,34886.91378
32,10000,10000,15.96,29120.0,12594.24
33,5000,5000,8.9,24044.0,5715.56
34,7000,7000,15.96,34000.0,8854.510004
35,12400,12400,10.65,41000.0,14540.67999
36,10800,10800,9.91,55596.0,12159.18687
37,15000,15000,7.9,45000.0,16663.34403
38,6000,6000,12.42,36852.0,7127.722011
39,12500,12500,12.69,27000.0,14636.3
40,9600,9600,7.51,68004.0,10751.86997
41,12000,12000,7.9,62300.0,13517.36
42,3000,3000,18.25,65000.0,3917.949999
43,4400,4400,16.77,55000.0,5629.270001
44,6000,6000,6.03,45600.0,6065.86
45,14000,14000,9.91,80000.0,16241.38
46,5000,5000,8.9,100000.0,5021.37
47,10000,10000,10.65,27000.0,11726.32
48,10000,10000,6.03,60000.0,10282.70571
49,11000,11000,6.62,70000.0,12158.61
50,15000,15000,9.91,80000.0,16177.77
51,25600,25600,9.91,110000.0,29698.51
52,7000,7000,10.65,40000.0,8208.410003
53,12000,12000,15.96,50000.0,3521.95
54,12000,12000,9.91,46000.0,13751.14474
55,21000,21000,19.91,50000.0,18319.14
56,16000,16000,19.91,81000.0,20882.09701
57,10000,10000,12.42,39000.0,11477.10378
58,10000,10000,10.65,51400.0,10576.43411
59,7100,7100,16.77,33000.0,9083.530005
60,13000,13000,12.69,30000.0,17402.23999
61,17500,8950,17.27,40000.0,13227.10001
62,17675,17675,14.65,50000.0,21323.86749
63,8000,8000,16.77,62000.0,10273.24
64,10000,10000,10.65,45996.0,8772.91
65,3500,3500,10.65,55000.0,4104.209999
66,12500,8925,17.27,30000.0,5577.75
67,16425,16425,14.27,44544.0,18174.82881
68,8200,8200,21.28,75000.0,4173.57
69,15000,15000,14.65,61000.0,18565.14804
70,20975,13575,17.58,44000.0,18112.46087
71,6400,6400,16.77,75000.0,4776.45
72,3000,3000,13.49,33600.0,3247.889478
73,12000,12000,16.77,50000.0,15352.47999
74,14400,14400,8.9,150000.0,16460.85
75,12000,12000,14.65,90000.0,12699.71201
76,11000,11000,13.49,48000.0,13418.28
77,7250,7200,21.67,75000.0,8204.774089
78,15000,15000,7.9,52000.0,15557.68008
79,18000,18000,19.91,65000.0,26034.66002
